Year,Number,DE_00,DE_01,DE_02,MD_00,MD_01,MD_02,MD_03,MD_04,MD_05,MD_06,MD_07,MD_08,PA_00,PA_01,PA_02,PA_03,PA_04,PA_05,PA_06,PA_07,PA_08,PA_09,PA_10,VA_00,VA_01,VA_02,VA_03,VA_04,VA_05,VA_06,WV_00,WV_01,WV_02,WV_03,WV_04,WV_05,WV_06
1970,1,40.36,39.28,40.65,40.58,39.6,39.67,37.23,39.07,39.77,41.57,41.47,45.98,42.21,39.98,41.04,41.13,44.88,41.42,38.91,43.13,44.68,42.06,43.9,36.02,37.56,33.6,35.32,36.46,32.91,39.38,41.33,39.35,42.63,40.41,45.48,36.48,36.02
1971,2,47.53,52.61,46.09,48.65,42.4,46.32,46.51,51.16,50.92,52.64,42.2,50.21,43.92,45.5,52.46,52.48,45.59,42.04,37.48,41.94,45.66,44.03,40.62,46.11,43.37,46.52,48.46,45.93,45.03,46.96,47.36,43.24,48.07,47.57,50.88,44.5,41.39
1972,3,49.45,48.35,49.77,51.81,53.16,52.54,53.1,53.28,53.77,52.58,44.6,47.76,48.07,48.19,51.04,47.98,49.04,52.02,44.28,48.3,48.16,45.73,48.79,51.25,51.61,54.27,52.91,47.77,45.55,52.42,48.63,41.99,46.82,47.23,54.01,51.24,41.2
1973,4,50.91,57.57,49.03,50.17,49.37,46.76,45.24,48.98,53.37,53.4,46.49,52.5,48.48,57.29,58.42,56.26,51.08,49.58,46.59,45.61,46.68,44.74,43.86,50.08,47.96,51.96,51.76,49.95,49.37,49.23,49.65,43.24,49.91,46.93,55.71,45.88,45.48
1974,5,41.4,44.67,40.48,42.38,39.03,42.31,40.99,41.5,45.92,43.15,39.27,48.57,46.24,50.63,52.12,47.06,40.86,45.1,42.07,47.38,40.44,48.31,47.05,47.16,46.11,47.46,49.06,40.35,44.38,52.59,51.45,49.88,53.01,54.49,54.54,48.98,38.42
1975,6,51.99,52.99,51.71,52.89,48.09,52.95,51.27,53.38,53.04,56.27,48.54,52.07,48.99,50.48,56.67,56.05,52.97,48.75,46.24,47.62,46.46,47.86,45.75,51.06,53.58,53.59,51.3,49.55,45.25,50.73,50.91,48.66,49.96,51.85,53.71,49.09,46.1
1976,7,36.49,36.17,36.57,38.24,38.97,34.63,36.13,38.6,36.16,41.26,34.79,37.79,41.25,46.51,48.37,42.78,40.09,40.56,40.41,40.41,37.42,38.68,42.67,36.33,37.61,34.82,35.57,35.15,34.23,39.63,39.68,41.01,42.29,43.17,40.87,33.84,31
1977,8,35.88,37.4,35.45,35.83,36.82,35.3,33.14,32.37,31.32,36.43,37.07,43.67,43.4,46.92,47.99,42.14,38.93,43.97,42.33,43.2,42.12,40.76,46.75,37.8,37.57,37.09,37.91,33.21,35.68,43.26,41.42,37.92,42.5,40.63,44.85,42.25,33.59
1978,9,53.27,54,53.06,50.86,52,52.44,52.09,52.43,50.84,50.72,45.13,50.17,46.86,50.18,58.01,54.33,46.93,51.44,46.3,46.67,44.16,42.63,41.76,51.43,54.23,55.85,54.16,47.36,45.88,48.12,46.55,41.14,47.63,45.32,49.08,45.1,44.44
1979,10,55.25,54.67,55.41,55.51,58.88,57.48,56.79,56.74,51.92,56.55,47,52.31,47.52,49.28,53.74,54.83,49.08,47.79,40.62,46.34,46.49,47.58,45.13,54.02,58.85,53.33,54.89,50.46,50.99,53.55,54.87,52.4,55.7,57.85,57.48,52.03,44.98
1980,11,39.44,37.22,40.07,39.38,37.44,41.13,35.98,38.04,39.99,39.13,38.24,49.19,39.43,35.73,37.54,37.27,36.69,35.49,32.84,38.31,40.07,45.15,43.7,39.25,36.03,38.48,38.38,38.78,41.42,42.75,47.12,46.65,49.57,46.13,51.02,44.39,38.49
1981,12,38.2,36.19,38.78,37.24,37.99,38.96,35.97,34.34,35.89,36.42,35.69,46.29,39.03,38.8,40.05,36.84,35.39,37.04,33.63,39.78,36.32,41.58,43.57,35.08,37.36,34.67,34.17,33.59,31.46,37.68,40.99,41.24,45.2,38.2,45.35,36.57,33.2
1982,13,38.11,40.57,37.41,38.53,39.21,39.45,40.5,37.58,38.73,37.7,34.76,42.82,39.59,40.63,45.75,43.02,35.98,39.32,36.72,40.9,37.35,36.61,42.09,43.68,45.71,44.31,43.54,38.16,42.27,45.91,43.57,35.77,41.64,42.52,50.15,42.46,36.37
1983,14,48.74,46.51,49.34,43.23,45.69,48.08,43.61,44.52,49.07,42.63,34.1,37.56,39.66,44.37,45.64,42.84,37.84,39.43,36.51,38.82,35.23,37.76,41.4,41.09,44.58,40.93,41.15,39.46,38.38,40.69,39.37,40.69,40.95,38.7,42.33,36.36,33.29
1984,15,51.86,55.15,50.94,53.36,53.12,55.91,54.82,51.23,53.61,54.13,48.97,51.43,50.85,54.36,60.52,59.22,54.25,51.63,48.79,50.85,46.77,44.99,49.61,52.51,53.52,54.34,55.74,53.61,51.19,46.69,47.86,40.89,46.26,44.05,53.4,47.98,46.4
1985,16,38.82,36.51,39.47,38.67,42.07,39.77,39.03,37.07,37.04,37.72,33.6,45.51,38.56,41.55,39.6,38.01,36.13,36.43,34.58,38.75,35.69,39.49,41.84,38,40.46,39.13,38.82,33.31,36.4,38.01,41.6,37.72,42.27,42.22,45.93,38.05,33.53
1986,17,30.22,32.53,29.57,33.73,31.26,30.73,34.74,33.27,30.07,32.09,36.39,50.9,43.94,47.78,45.44,39.39,36.41,42.59,40.16,44.18,39.28,46.32,49.41,38.41,37.02,39.53,37.11,37.41,39.61,39.77,46.55,44.29,50.46,43.49,52.92,40.26,37.5
1987,18,41.57,44.85,40.64,43.01,41.21,39.41,43.86,42.18,41.57,45.39,39.44,46.49,44.88,48.3,49.57,46.74,41.71,41.81,39.26,44.77,42.77,45.69,47.4,47.72,45.48,47.29,52.79,44.68,47.75,47.5,43.39,38.29,41.72,42.54,46.9,44.06,40.38
1988,19,39.42,40.01,39.25,38.69,39.22,37.24,36.74,38.03,38.42,40.31,35.46,40.71,35.67,39.78,42.2,40.78,35.45,35.42,31.73,33.84,35.22,34.2,34.52,35.76,39,36.84,36.35,35.48,32.55,33.26,34.98,33.58,34.72,32.85,38.36,33.09,33.27
